0	6295630
6295630	6255146
6295630	6255152
6295630	6255147
6295630	6255148
6295630	6255149
6295630	6255151
6295630	6255150
6255148	3041565
6255147	290557
6255147	1149361
6255149	3576396
6255149	3573511
6255148	783754
6255147	174982
6255149	8505032
6255146	3351879
6255150	3865483
6255151	5880801
6255148	2782113
6255151	2077456
6255149	3577279
6255148	661882
6255147	587116
6255148	3277605
6255149	3374084
6255147	1210997
6255148	2802361
6255146	2361809
6255148	732800
6255147	290291
6255146	433561
6255146	2395170
6255149	3578476
6255149	3573345
6255147	1820814
6255150	3923057
6255149	7626844
6255150	3469034
6255149	3572887
6255147	1252634
6255146	933860
6255148	630336
6255149	3582678
6255149	6251999
6255147	1547376
6255146	203312
6255146	239880
6255146	2260494
6255148	2658434
6255146	2287781
6255151	1899402
6255150	3895114
6255146	2233387
6255147	1814991
6255150	3686110
6255149	3624060
6255148	8505033
6255149	3562981
6255146	3374766
6255149	7626836
6255151	2078138
6255148	146669
6255148	3077311
6255148	2921044
6255146	223816
6255148	2623032
6255149	3575830
6255149	3508796
6255146	2589581
6255150	3658394
6255148	453733
6255146	357994
6255146	2461445
6255146	338010
6255148	2510769
6255146	337996
6255148	660013
6255151	2205218
6255150	3474414
6255151	2081918
6255148	2622320
6255148	3017382
6255146	2400553
6255148	2635167
6255149	3580239
6255147	614540
6255150	3381670
6255148	3042362
6255146	2300660
6255148	2411586
6255149	3425505
6255146	2413451
6255146	2420477
6255149	3579143
6255146	2309096
6255148	390903
6255149	3595528
6255151	4043988
6255146	2372248
6255150	3378535
6255147	1819730
6255149	3608932
6255148	3202326
6255149	3723988
6255148	719819
6255147	1643084
6255148	2963597
6255147	294640
6255148	3042225
6255147	1269750
6255147	1282588
6255147	99237
6255147	130758
6255148	2629691
6255148	3175395
6255148	3042142
6255149	3489940
6255147	248816
6255147	1861060
6255146	192950
6255147	1527747
6255147	1831722
6255151	4030945
6255146	921929
6255149	3575174
6255147	1873107
6255147	1835841
6255147	285570
6255149	3580718
6255147	1522867
6255147	1655842
6255147	272103
6255149	3576468
6255148	3042058
6255147	1227603
6255146	2275384
6255146	932692
6255148	597427
6255148	2960313
6255148	458258
6255146	2215636
6255146	2542007
6255148	2993457
6255148	617790
6255148	3194884
6255149	3578421
6255146	1062947
6255151	2080185
6255148	718075
6255146	2453866
6255147	1327865
6255147	2029969
6255147	1821275
6255151	4041468
6255149	3570311
6255146	2378080
6255149	3578097
6255148	2562770
6255146	934292
6255147	1282028
6255146	927384
6255149	3996063
6255147	1733045
6255146	1036973
6255146	3355338
6255151	2139685
6255146	2440476
6255151	2155115
6255146	2328926
6255149	3617476
6255148	2750405
6255148	3144096
6255147	1282988
